CallID,CallStarts,CallEnds,CustomerAcc,CustomerAge,CustomerPhone,OperatorID,LocationID,Sector,CallSatisfaction
1820,2023-01-01 02:22:40,2023-01-01 02:36:19,ACC0474,69,+100 43-518-683,P0011,LOC002,Government,0.5751
1821,2023-01-01 06:08:24,2023-01-01 06:23:01,ACC0237,42,+36 70-281-446,P0006,LOC009,Cross-Industry,0.3293
1822,2023-01-01 14:38:41,2023-01-01 14:47:14,ACC012,27,+100 21-56-221,P0014,LOC007,Government,0.7595
1823,2023-01-02 08:35:07,2023-01-02 08:48:50,ACC0129,74,+26 50-173-338,P0012,LOC005,Retail,0.8135
1824,2023-01-02 10:20:06,2023-01-02 10:41:51,ACC057,72,+100 66-101-266,P0008,LOC002,Other,0.2476
1825,2023-01-02 14:57:40,2023-01-02 15:12:39,ACC0308,43,+100 53-352-517,P0005,LOC006,Services,0.2622
1826,2023-01-02 18:28:17,2023-01-02 18:52:10,ACC01,16,+100 10-45-210,P0016,LOC001,Other,0.0998
1827,2023-01-04 20:07:48,2023-01-04 20:17:33,ACC080,25,+44 89-124-289,P0012,LOC004,Retail,0.1315
1828,2023-01-05 00:09:37,2023-01-05 00:31:02,ACC0329,64,+56 74-373-538,P0014,LOC006,Services,0.3255
1829,2023-01-05 00:18:23,2023-01-05 00:34:33,ACC0567,22,+36 48-611-776,P0003,LOC008,Services,0.5383
1830,2023-01-05 01:46:31,2023-01-05 02:02:27,ACC0308,43,+100 53-352-517,P0010,LOC002,Services,0.9574
1831,2023-01-05 02:18:14,2023-01-05 02:40:38,ACC0271,76,+34 16-315-480,P0015,LOC006,Government,0.0530
1832,2023-01-07 00:27:59,2023-01-07 00:40:02,ACC0269,74,+200 14-313-478,P0017,LOC002,Retail,0.1734
1833,2023-01-07 06:14:43,2023-01-07 06:22:12,ACC0462,57,+100 31-506-671,P0009,LOC001,Services,0.4392
1834,2023-01-07 13:51:58,2023-01-07 13:59:03,ACC054,69,+56 63-98-263,P0016,LOC007,Government,0.2600
1835,2023-01-07 23:14:57,2023-01-07 23:23:13,ACC0171,46,+36 92-215-380,P0018,LOC002,Retail,0.2049
1836,2023-01-08 02:57:04,2023-01-08 03:11:55,ACC0262,67,+43 95-306-471,P0002,LOC006,Retail,0.0830
1837,2023-01-08 09:46:02,2023-01-08 10:05:12,ACC0371,36,+26 28-415-580,P0012,LOC005,Services,0.9655
1838,2023-01-08 13:48:38,2023-01-08 14:07:13,ACC085,30,+26 94-129-294,P0006,LOC008,Other,0.0667
1839,2023-01-08 13:51:41,2023-01-08 14:04:07,ACC0549,74,+56 30-593-758,P0004,LOC004,Retail,0.9529
1840,2023-01-08 17:57:56,2023-01-08 18:02:15,ACC045,60,+100 54-89-254,P0002,LOC006,Retail,0.6519
1841,2023-01-09 05:24:32,2023-01-09 05:30:58,ACC0509,34,+44 78-553-718,P0009,LOC001,Government,0.6162
1842,2023-01-09 07:35:49,2023-01-09 07:40:14,ACC0563,18,+100 44-607-772,P0015,LOC006,Retail,0.1634
1843,2023-01-09 08:11:29,2023-01-09 08:16:37,ACC0472,67,+56 41-516-681,P0006,LOC001,Retail,0.8081
1844,2023-01-09 11:31:17,2023-01-09 11:47:39,ACC041,56,+26 50-85-250,P0006,LOC009,Cross-Industry,0.4047
1845,2023-01-09 12:36:25,2023-01-09 12:55:02,ACC0401,66,+200 58-445-610,P0002,LOC003,Other,0.2483
1846,2023-01-09 21:36:17,2023-01-09 21:44:44,ACC0188,63,+100 21-232-397,P0013,LOC005,Cross-Industry,0.2533
1847,2023-01-10 23:56:06,2023-01-11 00:08:54,ACC0497,22,+100 66-541-706,P0005,LOC009,Services,0.6063
1848,2023-01-11 04:54:51,2023-01-11 04:56:05,ACC056,71,+100 65-100-265,P0001,LOC002,Services,0.5034
1849,2023-01-11 13:59:18,2023-01-11 14:07:06,ACC0404,69,+26 61-448-613,P0008,LOC008,Government,0.5804
1850,2023-01-11 15:18:21,2023-01-11 15:41:26,ACC0362,27,+56 19-406-571,P0017,LOC009,Government,0.1281
1851,2023-01-12 00:30:16,2023-01-12 00:37:37,ACC0180,55,+46 13-224-389,P0005,LOC007,Government,0.6574
1852,2023-01-13 15:50:49,2023-01-13 16:09:19,ACC0261,66,+26 94-305-470,P0016,LOC001,Other,0.7327
1853,2023-01-14 06:18:42,2023-01-14 06:31:36,ACC084,29,+34 93-128-293,P0003,LOC003,Services,0.1068
1854,2023-01-14 13:11:07,2023-01-14 13:27:06,ACC0568,23,+34 49-612-777,P0002,LOC005,Other,0.2830
1855,2023-01-14 21:16:08,2023-01-14 21:25:06,ACC0590,45,+34 71-634-799,P0014,LOC008,Other,0.3874
1856,2023-01-15 16:15:35,2023-01-15 16:18:49,ACC0202,77,+46 35-246-411,P0013,LOC006,Cross-Industry,0.8391
1857,2023-01-15 18:16:09,2023-01-15 18:26:37,ACC058,73,+44 67-102-267,P0014,LOC007,Other,0.2782
1858,2023-01-16 18:51:30,2023-01-16 18:53:43,ACC064,79,+43 73-108-273,P0015,LOC008,Other,0.8388
1859,2023-01-17 09:39:47,2023-01-17 09:48:54,ACC0215,20,+36 48-259-424,P0006,LOC009,Government,0.4395
1860,2023-01-17 13:21:54,2023-01-17 13:42:33,ACC0491,16,+34 60-535-700,P0006,LOC007,Other,0.1269
1861,2023-01-17 20:07:10,2023-01-17 20:22:19,ACC0557,82,+34 38-601-766,P0009,LOC001,Healthcare,0.9859
1862,2023-01-18 02:42:26,2023-01-18 02:57:52,ACC0229,34,+43 62-273-438,P0018,LOC003,Government,0.0031
1863,2023-01-18 23:37:02,2023-01-18 23:52:52,ACC0216,21,+34 49-260-425,P0015,LOC006,Cross-Industry,0.3287
1864,2023-01-19 02:41:23,2023-01-19 03:05:17,ACC0268,73,+46 13-312-477,P0010,LOC002,Other,0.8551
1865,2023-01-19 20:37:36,2023-01-19 20:57:53,ACC0504,29,+43 73-548-713,P0017,LOC001,Services,0.3668
1866,2023-01-20 05:35:31,2023-01-20 05:52:13,ACC0111,56,+100 32-155-320,P0003,LOC005,Cross-Industry,0.5451
1867,2023-01-21 00:30:38,2023-01-21 00:53:00,ACC0308,43,+100 53-352-517,P0016,LOC009,Services,0.9779
1868,2023-01-21 01:33:53,2023-01-21 01:46:39,ACC0467,62,+200 36-511-676,P0001,LOC005,Government,0.5243
1869,2023-01-21 02:47:38,2023-01-21 02:49:45,ACC045,60,+100 54-89-254,P0003,LOC004,Retail,0.7467
1870,2023-01-21 09:27:45,2023-01-21 09:32:50,ACC0199,74,+100 32-243-408,P0012,LOC005,Retail,0.6260
1871,2023-01-21 14:29:22,2023-01-21 14:43:25,ACC079,24,+100 88-123-288,P0004,LOC007,Other,0.5337
1872,2023-01-22 03:52:15,2023-01-22 03:58:55,ACC0112,57,+100 33-156-321,P0011,LOC006,Services,0.5467
1873,2023-01-22 15:42:20,2023-01-22 16:01:11,ACC0421,16,+44 78-465-630,P0004,LOC008,Other,0.3601
1874,2023-01-23 02:23:05,2023-01-23 02:30:10,ACC0197,72,+56 30-241-406,P0009,LOC001,Other,0.0846
1875,2023-01-23 12:26:20,2023-01-23 12:40:32,ACC0568,23,+34 49-612-777,P0013,LOC008,Other,0.5181
1876,2023-01-23 23:56:38,2023-01-24 00:05:14,ACC0445,40,+200 14-489-654,P0011,LOC003,Healthcare,0.8563
1877,2023-01-24 08:52:49,2023-01-24 08:59:50,ACC02,17,+100 11-46-211,P0002,LOC006,Other,0.2163
1878,2023-01-24 22:18:26,2023-01-24 22:23:25,ACC0505,30,+56 74-549-714,P0017,LOC003,Other,0.3544
1879,2023-01-25 06:13:41,2023-01-25 06:35:29,ACC079,24,+100 88-123-288,P0019,LOC004,Other,0.2577
1880,2023-01-25 21:40:17,2023-01-25 22:05:06,ACC0539,64,+100 20-583-748,P0014,LOC005,Services,0.6299
1881,2023-01-26 06:09:20,2023-01-26 06:11:06,ACC0381,46,+34 38-425-590,P0010,LOC005,Retail,0.4665
1882,2023-01-26 14:28:50,2023-01-26 14:45:22,ACC0432,27,+44 89-476-641,P0001,LOC005,Government,0.7286
1883,2023-01-26 17:44:52,2023-01-26 18:11:03,ACC0234,39,+44 67-278-443,P0017,LOC009,Retail,0.4752
1884,2023-01-27 09:51:36,2023-01-27 10:06:12,ACC0591,46,+26 72-635-800,P0015,LOC006,Retail,0.0765
1885,2023-01-27 11:51:53,2023-01-27 11:52:54,ACC0464,59,+100 33-508-673,P0006,LOC009,Other,0.4660
1886,2023-01-27 19:36:50,2023-01-27 19:57:28,ACC0283,18,+26 28-327-492,P0018,LOC009,Retail,0.2747
1887,2023-01-27 20:08:53,2023-01-27 20:22:26,ACC0100,45,+100 21-144-309,P0014,LOC008,Other,0.7248
1888,2023-01-28 01:05:24,2023-01-28 01:17:32,ACC0107,52,+26 28-151-316,P0007,LOC007,Other,0.4595
1889,2023-01-28 14:13:08,2023-01-28 14:22:12,ACC0260,65,+34 93-304-469,P0003,LOC003,Other,0.1505
1890,2023-01-28 21:12:13,2023-01-28 21:18:31,ACC0175,50,+56 96-219-384,P0006,LOC009,Services,0.7472
1891,2023-01-28 22:22:26,2023-01-28 22:36:08,ACC0577,32,+200 58-621-786,P0010,LOC002,Retail,0.5734
1892,2023-01-30 08:31:10,2023-01-30 08:44:08,ACC0301,36,+46 46-345-510,P0015,LOC006,Services,0.4786
1893,2023-01-30 15:08:06,2023-01-30 15:13:50,ACC0584,39,+100 65-628-793,P0014,LOC005,Retail,0.9895
1894,2023-01-31 17:31:56,2023-01-31 17:49:15,ACC0218,23,+43 51-262-427,P0014,LOC007,Other,0.3624
1895,2023-01-31 22:19:48,2023-01-31 22:36:14,ACC0442,37,+100 11-486-651,P0010,LOC003,Other,0.0739
1896,2023-01-31 23:57:07,2023-02-01 00:05:23,ACC0511,36,+200 80-555-720,P0017,LOC001,Services,0.2104
1897,2023-02-01 01:42:16,2023-02-01 01:52:00,ACC0402,67,+36 59-446-611,P0005,LOC005,Retail,0.9501
1898,2023-02-02 14:31:17,2023-02-02 14:49:32,ACC0212,17,+44 45-256-421,P0016,LOC007,Other,0.6016
1899,2023-02-03 00:52:48,2023-02-03 01:16:53,ACC0512,37,+36 81-556-721,P0004,LOC008,Other,0.4690
1900,2023-02-03 01:16:37,2023-02-03 01:38:49,ACC0495,20,+100 64-539-704,P0006,LOC006,Government,0.1309
1901,2023-02-03 05:50:19,2023-02-03 06:12:09,ACC0283,18,+26 28-327-492,P0006,LOC001,Retail,0.2247
1902,2023-02-05 08:08:50,2023-02-05 08:09:09,ACC080,25,+44 89-124-289,P0005,LOC007,Retail,0.8384
1903,2023-02-05 11:28:30,2023-02-05 11:53:25,ACC0272,77,+26 17-316-481,P0017,LOC001,Cross-Industry,0.7927
1904,2023-02-05 17:38:31,2023-02-05 17:39:48,ACC0244,49,+100 77-288-453,P0007,LOC007,Cross-Industry,0.2569
1905,2023-02-05 23:09:08,2023-02-05 23:20:24,ACC0195,70,+26 28-239-404,P0019,LOC001,Cross-Industry,0.0461
1906,2023-02-06 05:39:08,2023-02-06 05:55:20,ACC0340,75,+56 85-384-549,P0018,LOC001,Healthcare,0.7051
1907,2023-02-06 17:22:58,2023-02-06 17:47:35,ACC0572,27,+100 53-616-781,P0003,LOC003,Government,0.2331
1908,2023-02-07 00:10:24,2023-02-07 00:27:57,ACC0368,33,+200 25-412-577,P0006,LOC001,Healthcare,0.3375
1909,2023-02-07 13:38:18,2023-02-07 13:42:14,ACC070,85,+46 79-114-279,P0010,LOC003,Services,0.4587
1910,2023-02-07 19:58:51,2023-02-07 20:14:03,ACC0242,47,+100 75-286-451,P0014,LOC005,Healthcare,0.4388
1911,2023-02-07 23:19:13,2023-02-07 23:21:20,ACC0579,34,+34 60-623-788,P0018,LOC001,Government,0.8217
1912,2023-02-08 16:33:34,2023-02-08 16:38:42,ACC0332,67,+100 77-376-541,P0002,LOC007,Retail,0.8248
1913,2023-02-08 18:05:32,2023-02-08 18:13:03,ACC0143,18,+100 64-187-352,P0001,LOC004,Retail,0.1800
1914,2023-02-08 20:54:26,2023-02-08 21:09:06,ACC0177,52,+100 10-221-386,P0009,LOC009,Other,0.0526
1915,2023-02-08 23:44:05,2023-02-08 23:51:25,ACC0420,85,+100 77-464-629,P0015,LOC007,Services,0.8002
1916,2023-02-09 07:03:36,2023-02-09 07:25:33,ACC0328,63,+43 73-372-537,P0007,LOC007,Cross-Industry,0.6752
1917,2023-02-09 13:36:23,2023-02-09 13:37:31,ACC0548,73,+43 29-592-757,P0018,LOC003,Other,0.4821
1918,2023-02-09 19:38:33,2023-02-09 19:54:58,ACC0287,22,+100 32-331-496,P0002,LOC002,Services,0.9303
1919,2023-02-09 23:21:05,2023-02-09 23:30:28,ACC0589,44,+36 70-633-798,P0010,LOC003,Other,0.6340
1920,2023-02-10 01:28:59,2023-02-10 01:48:23,ACC0338,73,+26 83-382-547,P0004,LOC005,Other,0.7558
1921,2023-02-10 04:50:14,2023-02-10 04:52:24,ACC0355,20,+44 12-399-564,P0010,LOC004,Government,0.7458
1922,2023-02-10 08:56:22,2023-02-10 09:07:41,ACC0113,58,+44 34-157-322,P0016,LOC009,Other,0.5517
1923,2023-02-10 17:54:31,2023-02-10 17:58:06,ACC0462,57,+100 31-506-671,P0018,LOC009,Services,0.0395
1924,2023-02-10 19:52:01,2023-02-10 20:13:56,ACC0175,50,+56 96-219-384,P0003,LOC007,Services,0.0140
1925,2023-02-11 04:20:53,2023-02-11 04:38:05,ACC0482,77,+43 51-526-691,P0003,LOC005,Cross-Industry,0.1592
1926,2023-02-12 01:04:02,2023-02-12 01:08:42,ACC0502,27,+34 71-546-711,P0008,LOC002,Government,0.1036
1927,2023-02-13 14:00:53,2023-02-13 14:07:44,ACC0532,57,+46 13-576-741,P0007,LOC009,Services,0.3057
1928,2023-02-15 22:38:15,2023-02-15 22:53:46,ACC0157,32,+44 78-201-366,P0017,LOC001,Retail,0.9446
1929,2023-02-16 00:02:46,2023-02-16 00:12:24,ACC0151,26,+26 72-195-360,P0006,LOC006,Healthcare,0.2513
1930,2023-02-16 08:21:16,2023-02-16 08:22:41,ACC06,21,+36 15-50-215,P0012,LOC007,Cross-Industry,0.6170
1931,2023-02-16 12:30:38,2023-02-16 12:34:42,ACC061,76,+36 70-105-270,P0019,LOC004,Government,0.9408
1932,2023-02-16 18:09:15,2023-02-16 18:34:51,ACC0546,71,+34 27-590-755,P0003,LOC005,Services,0.6997
1933,2023-02-16 21:03:56,2023-02-16 21:23:35,ACC0363,28,+100 20-407-572,P0014,LOC007,Cross-Industry,0.4328
1934,2023-02-16 23:11:39,2023-02-16 23:18:33,ACC0199,74,+100 32-243-408,P0017,LOC009,Retail,0.2561
1935,2023-02-17 00:46:34,2023-02-17 01:05:56,ACC027,42,+200 36-71-236,P0011,LOC003,Cross-Industry,0.4396
1936,2023-02-17 13:08:40,2023-02-17 13:11:11,ACC0165,40,+100 86-209-374,P0009,LOC001,Healthcare,0.0544
1937,2023-02-17 21:09:22,2023-02-17 21:17:20,ACC0578,33,+36 59-622-787,P0011,LOC005,Healthcare,0.8455
